@relation traffic_analysis
 
@attribute numPackSent numeric
@attribute numPackRec numeric
@attribute totalPackets numeric
@attribute numberAck numeric
@attribute headerBytesSent numeric
@attribute headerBytesRec numeric
@attribute totalHeaderBytes numeric
@attribute caplenSent numeric
@attribute caplenRec numeric
@attribute minPackLength numeric
@attribute maxPackLength numeric
@attribute avPackLength numeric
@attribute avPayload numeric
@attribute payloadSent numeric
@attribute payloadRec numeric
@attribute totalPayload numeric
@attribute totalSize numeric
@attribute class {TOR,SSH,SSLWEB,SSLp2p,SCP,SKYPE}
 
@data
26,28,54,54,832,896,1728,2468,7864,346,1794,471.0,125.0,752,6016,6768,25452,SSH
1048,1038,2086,43,8636,8568,17204,129047,135371,334,518,439.0,84.0,84679,91389,176068,915922,SKYPE
844,627,1471,1446,18348,15384,33732,556685,52878,334,1814,712.0,356.0,509641,14456,524097,1047875,SSLp2p
357,289,646,630,8992,8248,17240,263867,23697,334,1814,742.0,383.0,242737,4963,247700,479548,SSLp2p
64,75,139,134,1488,1788,3276,5143,6314,334,1392,377.0,23.0,1479,1814,3293,52489,TOR
37,37,74,73,1192,1192,2384,4014,8086,346,1794,443.0,97.0,1564,5636,7200,32820,SSH
479,649,1128,1086,10596,13952,24548,79888,327185,334,1814,656.0,304.0,53006,290118,343124,740833,SSLp2p
1100,1090,2190,48,9088,9008,18096,138573,156396,334,630,446.0,92.0,92085,110204,202289,978857,SKYPE
36,36,72,71,1160,1160,2320,3948,5572,346,1042,412.0,66.0,1564,3188,4752,29680,SSH
1816,2882,4698,4600,46052,69300,115352,322956,2808623,334,1814,965.0,607.0,215160,2639953,2855113,4535051,SSLp2p
46,47,93,91,1488,1520,3008,5396,9222,346,1794,437.0,90.0,2344,6104,8448,40658,SSH
28,45,73,71,724,1100,1824,3244,3503,334,820,384.0,31.0,1568,746,2314,28083,TOR
35,35,70,69,1128,1128,2256,3898,5034,346,1042,407.0,61.0,1580,2716,4296,28532,SSH
962,1515,2477,2477,39528,48480,88008,73004,2253718,346,1778,1219.0,869.0,768,2153728,2154496,3020282,SCP
197,200,397,373,4048,4096,8144,23906,93680,334,1782,580.0,240.0,13160,82226,95386,230474,TOR
1070,1065,2135,24,8716,8652,17368,154470,130743,334,915,446.0,91.0,109374,85825,195199,953189,SKYPE
36,36,72,71,1160,1160,2320,3964,5268,346,1042,408.0,62.0,1580,2884,4464,29392,SSH
48,47,95,93,1552,1520,3072,5576,7446,346,1042,417.0,70.0,2392,4328,6720,39622,SSH
